player_id,team_id,player,team,position,age,minutes,games,goals,assists,shots,shots_on_target,passes_completed,passes,passes_pct,tackles,interceptions,clearances,touches,dispossessed,xg,xg_assist
15,115,Achraf Dari,Morocco,DF,,2,3,1,0,,1,99.0,111.0,89.2,1.0,5,9.0,139.0,1.0,0.6,
16,115,Achraf Hakimi,Morocco,DF,,7,7,0,1,,1,312.0,382.0,81.7,26.0,9,12.0,478.0,8.0,0.1,
17,113,Adrien Rabiot,France,MF,,5,6,1,1,,4,237.0,284.0,83.5,12.0,10,6.0,350.0,7.0,1.1,
18,125,Agustín Canobbio,Uruguay,MF,,0,1,0,0,,0,5.0,7.0,71.4,1.0,0,0.0,11.0,0.0,0.0,
19,102,Ahmad Nourollahi,IR Iran,MF,,2,3,0,0,,1,35.0,54.0,64.8,4.0,6,8.0,85.0,0.0,0.1,
20,99,Ahmed Alaaeldin,Qatar,FW,,0,1,0,0,,0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,
21,110,Aimen Dahmen,Tunisia,GK,,3,3,0,0,,0,48.0,77.0,62.3,0.0,0,2.0,82.0,0.0,0.0,
22,114,Ajdin Hrustic,Australia,MF,,0,3,0,0,,0,17.0,21.0,81.0,2.0,1,1.0,32.0,1.0,0.0,
23,99,Akram Afif,Qatar,FW,,3,3,0,0,,0,139.0,165.0,84.2,0.0,0,0.0,181.0,5.0,0.0,
24,100,Alan Franco,Ecuador,MF,,0,2,0,0,,0,10.0,11.0,90.9,1.0,2,1.0,16.0,0.0,0.0,
25,119,Alejandro Balde,Spain,DF,,1,4,0,0,,0,112.0,123.0,91.1,6.0,0,2.0,135.0,3.0,0.0,
26,130,Aleksandar Mitrović,Serbia,FW,,2,3,2,0,,3,54.0,69.0,78.3,1.0,0,1.0,95.0,3.0,1.6,
27,129,Alex Sandro,Brazil,DF,,2,3,0,0,,0,150.0,169.0,88.8,8.0,3,9.0,193.0,0.0,0.0,
28,129,Alex Telles,Brazil,DF,,0,2,0,0,,0,33.0,42.0,78.6,2.0,0,1.0,46.0,0.0,0.0,
29,109,Alexander Bah,Denmark,DF,,0,2,0,0,,0,37.0,53.0,69.8,4.0,2,0.0,65.0,0.0,0.1,
30,128,Alexander Djiku,Ghana,DF,,1,2,0,0,,0,22.0,28.0,78.6,1.0,2,9.0,43.0,0.0,0.0,
31,107,Alexis Mac Allister,Argentina,MF,,6,6,1,1,,4,234.0,265.0,88.3,9.0,3,6.0,332.0,8.0,0.7,
32,111,Alexis Vega,Mexico,FW,,2,3,0,0,,2,40.0,56.0,71.4,0.0,1,2.0,85.0,8.0,0.8,
33,110,Ali Abdi,Tunisia,DF,,2,3,0,0,,0,72.0,116.0,62.1,8.0,4,13.0,152.0,4.0,0.0,
34,108,Ali Al Hassan,Saudi Arabia,MF,,0,1,0,0,,0,4.0,7.0,57.1,2.0,0,1.0,15.0,1.0,0.1,
35,108,Ali Al-Bulaihi,Saudi Arabia,DF,,2,3,0,0,,0,78.0,97.0,80.4,4.0,3,1.0,110.0,0.0,0.0,
36,99,Ali Assadalla,Qatar,MF,,0,1,0,0,,0,21.0,23.0,91.3,0.0,0,0.0,24.0,0.0,0.0,
37,102,Ali Gholizadeh,IR Iran,MF,,2,3,0,1,,0,46.0,72.0,63.9,0.0,3,2.0,86.0,2.0,0.0,
38,102,Ali Karimi,IR Iran,MF,,1,3,0,0,,0,34.0,45.0,75.6,3.0,3,1.0,55.0,0.0,0.0,
